Country;Requester_Type;Product;Indication;Question;Channel;Date_Time_Open;Date_Time_Closed;Answer/Solution
US;Pharmacist;Keytruda;NSCLC;How is awareness being raised for Keytruda as a treatment option?;call;11/05/2023 8:00;04/06/2023 13:00;"Awareness is being raised through patient advocacy groups, clinical trial publications, and healthcare provider education programs."
Canada;Researcher;Keytruda;NSCLC;What resources are available for patients on Keytruda to manage side effects?;call;19/01/2023 10:00;29/01/2023 3:00;
Canada;Researcher;Keytruda;NSCLC;Is there a community support group for patients undergoing treatment with Keytruda?;call;16/05/2023 11:30;10/06/2023 14:00;"Yes, several online and local support groups are available for sharing experiences and advice."
US;HCP;Keytruda;NSCLC;How do healthcare providers educate patients about the benefits and risks of Keytruda?;call;16/05/2023 17:30;01/06/2023 4:30;"Healthcare providers offer educational materials, detailed consultations, and regular follow-up to discuss treatment progress and side effects."
US;Pharmacist;Keytruda;NSCLC;How does Keytruda improve survival rates in NSCLC patients compared to traditional treatments?;email;22/01/2023 6:30;04/03/2023 5:00;Keytruda has been shown to improve the overall survival rates by reducing the risk of death by about 40% compared to traditional chemotherapy in patients with high PD-L1 expression.
Canada;Pharmacist;Keytruda;NSCLC;Can Keytruda cause changes in blood pressure?;call;02/04/2023 15:00;11/04/2023 12:30;"Yes, fluctuations in blood pressure can occur, and patients should monitor their blood pressure regularly."
US;HCP;Keytruda;NSCLC;Are there specific side effects of Keytruda that NSCLC patients should monitor?;call;05/06/2023 10:30;17/07/2023 8:00;"NSCLC patients should monitor for cough, shortness of breath, and chest pain, as these could indicate immune-related pneumonitis."
Canada;HCP;Keytruda;NSCLC;How does Keytruda's effectiveness in NSCLC compare between smokers and non-smokers in KEYNOTE-051?;call;26/05/2023 22:30;07/07/2023 7:00;"The effectiveness was slightly higher in non-smokers, although significant benefits were still observed in smokers."
UK;Pharmacist;Keytruda;NSCLC;What genetic markers were studied in NSCLC patients during the KEYNOTE-006 trial?;call;30/04/2023 3:00;09/06/2023 22:30;PD-L1 expression and tumor mutational burden were key genetic markers studied to assess the response to Keytruda
UK;Researcher;Keytruda;NSCLC;"Q: What was the impact of Keytruda on quality of life for NSCLC patients in KEYNOTE-123?
   A: Keytruda improved the quality of life by reducing symptoms related to NSCLC and decreasing the side effects typically associated with chemotherapy.";call;03/04/2023 8:30;25/04/2023 10:00;
US;HCP;Keytruda;NSCLC;"Q: Were there any notable differences in efficacy between Keytruda and chemotherapy in NSCLC patients in the KEYNOTE-456 trial?
   A: Yes, Keytruda demonstrated superior efficacy in terms of overall survival and progression-free survival compared to chemotherapy in NSCLC patients.";call;03/05/2023 0:00;30/05/2023 23:00;
UK;Pharmacist;Keytruda;NSCLC;What genetic markers are tested before starting Keytruda in NSCLC patients?;email;23/01/2023 17:30;05/03/2023 8:30;"PD-L1 expression is the primary marker tested; however, genetic testing may also include EGFR mutations and ALK rearrangements to determine the best treatment approach."
Canada;Pharmacist;Keytruda;NSCLC;Is there a difference in treatment outcome with Keytruda between smokers and non-smokers with NSCLC?;call;27/06/2023 22:00;09/07/2023 21:00;"Studies have shown that smoking status does not significantly affect the efficacy of Keytruda, although individual responses can vary."
UK;HCP;Keytruda;NSCLC;"Q: What are the recommended dosing guidelines for Keytruda in NSCLC treatment according to KEYNOTE-123 findings?
   A: The recommended dosing is 200 mg every three weeks for a duration determined by the patient's response and tolerance to the treatment";email;14/02/2023 5:00;19/03/2023 1:00;
Canada;Pharmacist;Keytruda;NSCLC;Can NSCLC patients with brain metastases be treated with Keytruda?;call;26/01/2023 4:30;16/02/2023 21:00;"Keytruda can be used in NSCLC patients with brain metastases, especially when systemic disease control is needed, but close monitoring for neurological symptoms is essential."
Canada;Researcher;Keytruda;NSCLC;;call;03/04/2023 13:30;01/05/2023 18:30;"Q: What was the primary outcome of the KEYNOTE-123 trial for NSCLC patients?
   A: The primary outcome was an improvement in overall survival and progression-free survival compared to traditional chemotherapy."
UK;HCP;Keytruda;NSCLC;;call;24/03/2023 21:00;29/04/2023 12:00;"Q: How did Keytruda perform in NSCLC patients with high PD-L1 expression in the KEYNOTE-051 trial?
   A: Keytruda showed significantly improved response rates and survival outcomes in NSCLC patients with high PD-L1 expression in the KEYNOTE-456 trial."
Canada;Researcher;Keytruda;NSCLC;What are the options if an NSCLC patient does not respond to Keytruda?;call;03/03/2023 8:00;21/03/2023 8:30;"For non-responders, options may include switching to different immunotherapy drugs, combination therapies with chemotherapy, or targeted therapies based on genetic mutations."
UK;Researcher;Keytruda;NSCLC;How does Keytruda work in combination with other therapies for NSCLC?;call;24/01/2023 16:30;06/03/2023 19:30;" Keytruda works synergistically with chemotherapy and other immunotherapies to enhance the immune response against cancer cells, often leading to improved outcomes."
UK;Researcher;Keytruda;NSCLC;What are the financial support options for NSCLC patients needing Keytruda treatment?;call;21/01/2023 14:30;14/02/2023 15:30;"Financial support options include manufacturer assistance programs, insurance coverage support, and non-profit grants that help with the cost of treatment."
US;Pharmacist;Keytruda;NSCLC;Can Keytruda cause fatigue in NSCLC patients?;email;09/01/2023 23:30;02/02/2023 6:00;No detailed information aviable on the given topic.
UK;Pharmacist;Keytruda;NSCLC;What advancements are being researched for Keytruda in NSCLC treatment?;email;21/03/2023 13:00;18/04/2023 14:30;"Ongoing research includes optimizing combination therapies, exploring lower doses, and extending its use to earlier stages of NSCLC."
US;HCP;Keytruda;NSCLC;How does Keytruda affect immune system function in NSCLC patients?;email;17/05/2023 10:00;15/06/2023 21:30;Keytruda enhances the immune system's ability to detect and destroy cancer cells but can also lead to immune-related adverse effects that need to be managed.
UK;HCP;Keytruda;NSCLC;What are the criteria for discontinuing Keytruda in NSCLC patients?;call;18/03/2023 4:00;16/04/2023 10:00;"Keytruda may be discontinued if there is significant disease progression, unacceptable toxicity, or upon patient decision in consultation with their healthcare provider."
UK;Pharmacist;Keytruda;NSCLC;How did Keytruda compare to targeted therapies in NSCLC patients with specific genetic alterations in KEYNOTE-006?;email;14/06/2023 5:00;18/07/2023 16:30;Keytruda showed comparable efficacy to targeted therapies in patients without specific actionable genetic alterations.
US;Researcher;Keytruda;NSCLC;What are the signs of a positive response to Keytruda in NSCLC?;email;20/02/2023 17:30;03/03/2023 5:00;"Signs include a decrease in tumor size on imaging, improvement in respiratory symptoms, and increased overall physical activity and well-being."
US;HCP;Keytruda;NSCLC;Can Keytruda be used in NSCLC patients with autoimmune diseases?;call;07/05/2023 18:00;14/05/2023 20:00;Keytruda should be used with caution in patients with pre-existing autoimmune diseases due to the risk of exacerbating the condition.
UK;Pharmacist;Keytruda;NSCLC;What are the survival rates for NSCLC patients treated with Keytruda compared to those treated with traditional chemotherapy?;email;09/02/2023 20:30;25/03/2023 5:30;"Survival rates are generally higher for patients treated with Keytruda, especially those with high PD-L1 expression, compared to traditional chemotherapy."
Canada;Pharmacist;Keytruda;NSCLC;What percentage of NSCLC patients experienced complete remission with Keytruda treatment in KEYNOTE-789?;call;06/01/2023 21:30;15/02/2023 7:00;The provided information do not offer detailed information on the topic or questions self.


